No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Hemidactylus frenatus,Cicak rumah asia,3,0
2,Ahaetulla prasina,Ular pucuk daun,0,1
3,Boiga dendrophila,Ular cincin emas,0,1
4,Cerberus rynchops,Ular tambak,1,9
5,Crocodylidae,Buaya,1,0
6,Emoia atrocostata,Kadal bakau,1,0
7,Eutropis multifasciata,Bengkarung,0,1
8,Hemidactylus platyurus,Cicak gula,1,3
9,Hypsiscopus plumbea,Ular-air Kelabu,3,3
10,Laticauda colubrina,Erabu kuning/tiung belang,1,1
11,Pseudoferania polylepis,Ular air macaley's,0,1
12,Varanus salvator,Biawak air,2,4