No,Nama Ilmiah,Nama Lokal,Jumlah 2022,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Acacia auriculiformis,Akasia,0,9450,1575,1575
2,Acacia mangium,Akasia,0,4725,3150,3150
3,Acrostichum aureum,Pakis bakau,1890,4725,9450,9450
4,Acrostichum speciosum,Pakis bakau,5670,4725,6300,6300
5,Ardisia elliptica,Lempeni,1890,0,0,0
6,Asystasia gangetica,Rumput israel,0,20475,0,0
7,Avicennia alba,Api-api,39690,12600,14175,14187
8,Bruguiera cylindrica,Tancang putih,10395,0,0,0
9,Bruguiera gymnorrhiza,Tancang merah,6615,20475,9450,9450
10,Bruguiera sexangula,Busing,8505,1575,0,0
11,Calophyllum sp.,Mentangor,0,0,1575,1575
12,Cerbera manghas,Bintaro,2835,6300,0,0
13,Ceriops tagal,Tingi,2835,0,0,0
14,Cocos nucifera,Kelapa,0,12600,9450,9450
15,Derris trifoliata,Tuba,8505,7875,3150,3150
16,Excoecaria agallocha,Buta-buta,2835,22050,12600,12608
17,Ficus sp.,Beringin,0,3150,0,0
18,Fimbristylis ferruginea,Berkarat alang,40635,0,0,0
19,Flagellaria indica,Rotan Tikus,0,0,4725,4725
20,Heritiera littoralis,Dungun,6615,7875,0,0
21,Heritiera littoralis,Dungun kecil,,,,15750
22,Hibiscus tiliaceus,Waru,7560,11025,4725,4747
23,Lumnitzera littorea,Teruntum merah,5670,6300,15750,15750
24,Mangifera indica,Mangga,0,0,1575,1575
25,Nypa fruticans,Nipah,25515,4725,17325,17325
26,Phemphis acidula,Stigi,0,1575,0,0
27,Pluchea indica,Beluntas,0,0,11025,11025
28,Pterocarpus indicus,Angsana,0,0,3150,3150
29,Rhizophora mucronata,Belukap,15120,3150,0,0
30,Rhizophora stylosa,Bako kurap,3780,3150,0,0
31,Rhizopora apiculata,Bakau kacang,4725,26775,86625,86628
32,Scyphiphora hydrophyllacea,Cingam,4725,0,11025,11025
33,Sesuvium portulacastrum,Krokot,0,58275,12600,12600
34,Sonneratia alba,Prepat,12285,7875,23625,23625
35,Sonneratia caseolaris,Prepat Merah,0,0,3150,12600
36,Spinifex littoreus,Rumput lari-lari,0,6300,0,0
37,Terminalia catappa,Ketapang,0,0,1575,1578
38,Xylocarpus granatum,Niri/nilih,4725,81900,33075,33079